district ,city
FIRST DISTRICT,CITY OF MANILA
SECOND DISTRICT,CITY OF MANDALUYONG
SECOND DISTRICT ,CITY OF MARIKINA
SECOND DISTRICT ,CITY OF PASIG
SECOND DISTRICT ,QUEZON CITY
SECOND DISTRICT ,CITY OF SAN JUAN
FOURTH DISTRICT ,CITY OF LAS PIÑAS
FOURTH DISTRICT ,CITY OF MAKATI
FOURTH DISTRICT ,CITY OF MUNTINLUPA
FOURTH DISTRICT ,CITY OF PARAÑAQUE
FOURTH DISTRICT ,PASAY CITY
FOURTH DISTRICT ,PATEROS
FOURTH DISTRICT ,TAGUIG CITY
THIRD DISTRICT ,CITY OF CALOOCAN
THIRD DISTRICT ,CITY OF MALABON
THIRD DISTRICT ,CITY OF NAVOTAS
THIRD DISTRICT ,CITY OF VALENZUELA
