,city,province,region ,population,population_grwth_prct,highly_urbanized
0,CITY OF MANILA,NA,NATIONAL CAPITAL REGION (NCR),1846513,1.12,1
1,CITY OF MANDALUYONG,NA,NATIONAL CAPITAL REGION (NCR),425758,2.62,1
2,CITY OF MARIKINA,NA,NATIONAL CAPITAL REGION (NCR),456059,0.73,1
3,CITY OF PASIG,NA,NATIONAL CAPITAL REGION (NCR),803159,1.83,1
4,QUEZON CITY,NA,NATIONAL CAPITAL REGION (NCR),2960048,0.7,1
5,CITY OF SAN JUAN,NA,NATIONAL CAPITAL REGION (NCR),126347,0.4,1
6,CITY OF CALOOCAN,NA,NATIONAL CAPITAL REGION (NCR),1661584,1.1,1
7,CITY OF MALABON,NA,NATIONAL CAPITAL REGION (NCR),380522,0.74,1
8,CITY OF NAVOTAS,NA,NATIONAL CAPITAL REGION (NCR),247543,-0.06,1
9,CITY OF VALENZUELA,NA,NATIONAL CAPITAL REGION (NCR),714978,2.19,1
10,CITY OF LAS PIÑAS,NA,NATIONAL CAPITAL REGION (NCR),606293,0.93,1
11,CITY OF MAKATI,NA,NATIONAL CAPITAL REGION (NCR),629616,1.75,1
12,CITY OF MUNTINLUPA,NA,NATIONAL CAPITAL REGION (NCR),543445,1.68,1
13,CITY OF PARAÑAQUE,NA,NATIONAL CAPITAL REGION (NCR),689992,1.61,1
14,PASAY CITY,NA,NATIONAL CAPITAL REGION (NCR),440656,1.15,1
15,PATEROS,NA,NATIONAL CAPITAL REGION (NCR),65227,0.17,1
16,TAGUIG CITY,NA,NATIONAL CAPITAL REGION (NCR),886722,3.24,1
17,BANGUED ,ABRA,Cordillera Administrative Region (CAR),50382,1.38,0
18,BOLINEY,ABRA,Cordillera Administrative Region (CAR),4551,1.14,0
19,BUCAY,ABRA,Cordillera Administrative Region (CAR),17953,0.47,0
20,BUCLOC,ABRA,Cordillera Administrative Region (CAR),2395,0.96,0
21,DAGUIOMAN,ABRA,Cordillera Administrative Region (CAR),2019,1.64,0
22,DANGLAS,ABRA,Cordillera Administrative Region (CAR),4074,-1.49,0
23,DOLORES,ABRA,Cordillera Administrative Region (CAR),11512,0.01,0
24,LA PAZ,ABRA,Cordillera Administrative Region (CAR),16493,1.03,0
25,LACUB,ABRA,Cordillera Administrative Region (CAR),3612,1.95,0
26,LAGANGILANG,ABRA,Cordillera Administrative Region (CAR),14914,0.76,0
27,LAGAYAN,ABRA,Cordillera Administrative Region (CAR),4488,0.02,0
28,LANGIDEN,ABRA,Cordillera Administrative Region (CAR),3576,1.21,0
29,LICUAN-BAAY (LICUAN),ABRA,Cordillera Administrative Region (CAR),4566,-0.63,0
30,LUBA,ABRA,Cordillera Administrative Region (CAR),6518,0.2,0
31,MALIBCONG,ABRA,Cordillera Administrative Region (CAR),4027,0.56,0
32,MANABO,ABRA,Cordillera Administrative Region (CAR),11611,0.77,0
33,PEÑARRUBIA,ABRA,Cordillera Administrative Region (CAR),6951,0.6,0
34,PIDIGAN,ABRA,Cordillera Administrative Region (CAR),12475,0.79,0
35,PILAR,ABRA,Cordillera Administrative Region (CAR),10146,0.24,0
36,SALLAPADAN,ABRA,Cordillera Administrative Region (CAR),6389,0.65,0
37,SAN ISIDRO,ABRA,Cordillera Administrative Region (CAR),4745,-0.3,0
38,SAN JUAN,ABRA,Cordillera Administrative Region (CAR),10688,0.13,0
39,SAN QUINTIN,ABRA,Cordillera Administrative Region (CAR),5705,0.87,0
40,TAYUM,ABRA,Cordillera Administrative Region (CAR),14869,0.65,0
41,TINEG,ABRA,Cordillera Administrative Region (CAR),4977,0.64,0
42,TUBO,ABRA,Cordillera Administrative Region (CAR),5674,-0.08,0
43,VILLAVICIOSA,ABRA,Cordillera Administrative Region (CAR),5675,0.54,0
44,CALANASAN (BAYAG),APAYAO,Cordillera Administrative Region (CAR),12550,0.82,0
45,CONNER,APAYAO,Cordillera Administrative Region (CAR),27552,1.05,0
46,FLORA,APAYAO,Cordillera Administrative Region (CAR),17944,0.69,0
