province,region, 
FIRST DISTRICT,NATIONAL CAPITAL REGION (NCR),
SECOND DISTRICT,NATIONAL CAPITAL REGION (NCR),
THIRD DISTRICT ,NATIONAL CAPITAL REGION (NCR),
FOURTH DISTRICT,NATIONAL CAPITAL REGION (NCR),
ABRA,CORDILLERA ADMINISTRATIVE REGION (CAR),
APAYAO,CORDILLERA ADMINISTRATIVE REGION (CAR),
BENGUET *,CORDILLERA ADMINISTRATIVE REGION (CAR),
CITY OF BAGUIO,CORDILLERA ADMINISTRATIVE REGION (CAR),
IFUGAO,CORDILLERA ADMINISTRATIVE REGION (CAR),
KALINGA,CORDILLERA ADMINISTRATIVE REGION (CAR),
MOUNTAIN PROVINCE,CORDILLERA ADMINISTRATIVE REGION (CAR),
ILOCOS NORTE,REGION I (ILOCOS REGION),
ILOCOS SUR,REGION I (ILOCOS REGION),
LA UNION,REGION I (ILOCOS REGION),
PANGASINAN,REGION I (ILOCOS REGION),
BATANES,REGION II (CAGAYAN VALLEY),
CAGAYAN,REGION II (CAGAYAN VALLEY),
ISABELA,REGION II (CAGAYAN VALLEY),
NUEVA VIZCAYA,REGION II (CAGAYAN VALLEY),
QUIRINO,REGION II (CAGAYAN VALLEY),
AURORA,REGION III (CENTRAL LUZON),
BATAAN,REGION III (CENTRAL LUZON),
BULACAN,REGION III (CENTRAL LUZON),
NUEVA ECIJA,REGION III (CENTRAL LUZON),
PAMPANGA ,REGION III (CENTRAL LUZON),
CITY OF ANGELES,REGION III (CENTRAL LUZON),
TARLAC,REGION III (CENTRAL LUZON),
ZAMBALES ,REGION III (CENTRAL LUZON),
CITY OF OLONGAPO,REGION III (CENTRAL LUZON),
BATANGAS,REGION IV-A (CALABARZON),
CAVITE,REGION IV-A (CALABARZON),
LAGUNA,REGION IV-A (CALABARZON),
QUEZON ,REGION IV-A (CALABARZON),
CITY OF LUCENA,REGION IV-A (CALABARZON),
RIZAL,REGION IV-A (CALABARZON),
MARINDUQUE,MIMAROPA REGION,
OCCIDENTAL MINDORO,MIMAROPA REGION,
ORIENTAL MINDORO,MIMAROPA REGION,
PALAWAN ,MIMAROPA REGION,
CITY OF PUERTO PRINCESA,MIMAROPA REGION,
ROMBLON,MIMAROPA REGION,
ALBAY,REGION V (BICOL REGION),
CAMARINES NORTE,REGION V (BICOL REGION),
CAMARINES SUR,REGION V (BICOL REGION),
CATANDUANES,REGION V (BICOL REGION),
MASBATE,REGION V (BICOL REGION),
SORSOGON,REGION V (BICOL REGION),
AKLAN,REGION VI (WESTERN VISAYAS),
ANTIQUE,REGION VI (WESTERN VISAYAS),
CAPIZ,REGION VI (WESTERN VISAYAS),
GUIMARAS,REGION VI (WESTERN VISAYAS),
ILOILO ,REGION VI (WESTERN VISAYAS),
CITY OF ILOILO,REGION VI (WESTERN VISAYAS),
NEGROS OCCIDENTAL 1,REGION VI (WESTERN VISAYAS),
CITY OF BACOLOD,REGION VI (WESTERN VISAYAS),
BOHOL,REGION VII (CENTRAL VISAYAS),
CEBU *,REGION VII (CENTRAL VISAYAS),
CITY OF CEBU,REGION VII (CENTRAL VISAYAS),
CITY OF LAPU-LAPU (OPON),REGION VII (CENTRAL VISAYAS),
CITY OF MANDAUE,REGION VII (CENTRAL VISAYAS),
NEGROS ORIENTAL 1,REGION VII (CENTRAL VISAYAS),
SIQUIJOR,REGION VII (CENTRAL VISAYAS),
BILIRAN,REGION VIII (EASTERN VISAYAS),
EASTERN SAMAR,REGION VIII (EASTERN VISAYAS),
LEYTE *,REGION VIII (EASTERN VISAYAS),
CITY OF TACLOBAN,REGION VIII (EASTERN VISAYAS),
NORTHERN SAMAR,REGION VIII (EASTERN VISAYAS),
SAMAR (WESTERN SAMAR),REGION VIII (EASTERN VISAYAS),
SOUTHERN LEYTE,REGION VIII (EASTERN VISAYAS),
ZAMBOANGA DEL NORTE,REGION IX (ZAMBOANGA PENINSULA),
ZAMBOANGA DEL SUR *,REGION IX (ZAMBOANGA PENINSULA),
CITY OF ZAMBOANGA,REGION IX (ZAMBOANGA PENINSULA),
ZAMBOANGA SIBUGAY,REGION IX (ZAMBOANGA PENINSULA),
CITY OF ISABELA,REGION IX (ZAMBOANGA PENINSULA),
BUKIDNON,REGION X (NORTHERN MINDANAO),
CAMIGUIN,REGION X (NORTHERN MINDANAO),
LANAO DEL NORTE *,REGION X (NORTHERN MINDANAO),
CITY OF ILIGAN,REGION X (NORTHERN MINDANAO),
MISAMIS OCCIDENTAL,REGION X (NORTHERN MINDANAO),
MISAMIS ORIENTAL *,REGION X (NORTHERN MINDANAO),
CITY OF CAGAYAN DE ORO,REGION X (NORTHERN MINDANAO),
DAVAO DE ORO (COMPOSTELA VALLEY) 2,REGION XI (DAVAO REGION),
DAVAO DEL NORTE,REGION XI (DAVAO REGION),
DAVAO DEL SUR *,REGION XI (DAVAO REGION),
CITY OF DAVAO,REGION XI (DAVAO REGION),
DAVAO OCCIDENTAL,REGION XI (DAVAO REGION),
DAVAO ORIENTAL,REGION XI (DAVAO REGION),
COTABATO (NORTH COTABATO),REGION XII (SOCCSKSARGEN),
SARANGANI,REGION XII (SOCCSKSARGEN),
SOUTH COTABATO *,REGION XII (SOCCSKSARGEN),
CITY OF GENERAL SANTOS (DADIANGAS),REGION XII (SOCCSKSARGEN),
SULTAN KUDARAT,REGION XII (SOCCSKSARGEN),
CITY OF COTABATO,REGION XII (SOCCSKSARGEN),
AGUSAN DEL NORTE *,REGION XIII (Caraga),
CITY OF BUTUAN,REGION XIII (Caraga),
AGUSAN DEL SUR,REGION XIII (Caraga),
DINAGAT ISLANDS,REGION XIII (Caraga),
SURIGAO DEL NORTE,REGION XIII (Caraga),
SURIGAO DEL SUR,REGION XIII (Caraga),
BASILAN (excluding CITY OF ISABELA),BARMM,
LANAO DEL SUR,BARMM,
MAGUINDANAO (excluding CITY OF COTABATO),BARMM,
SULU,BARMM,
TAWI-TAWI,BARMM,
