city,province,region ,population,population_grwth_prct,highly_urbanized
CITY OF MANILA,NA,NATIONAL CAPITAL REGION (NCR),1846513,1.12,1
CITY OF MANDALUYONG,NA,NATIONAL CAPITAL REGION (NCR),425758,2.62,1
CITY OF MARIKINA,NA,NATIONAL CAPITAL REGION (NCR),456059,0.73,1
CITY OF PASIG,NA,NATIONAL CAPITAL REGION (NCR),803159,1.83,1
QUEZON CITY,NA,NATIONAL CAPITAL REGION (NCR),2960048,0.7,1
CITY OF SAN JUAN,NA,NATIONAL CAPITAL REGION (NCR),126347,0.4,1
CITY OF CALOOCAN,NA,NATIONAL CAPITAL REGION (NCR),1661584,1.1,1
CITY OF MALABON,NA,NATIONAL CAPITAL REGION (NCR),380522,0.74,1
CITY OF NAVOTAS,NA,NATIONAL CAPITAL REGION (NCR),247543,-0.06,1
CITY OF VALENZUELA,NA,NATIONAL CAPITAL REGION (NCR),714978,2.19,1
CITY OF LAS PIÑAS,NA,NATIONAL CAPITAL REGION (NCR),606293,0.93,1
CITY OF MAKATI,NA,NATIONAL CAPITAL REGION (NCR),629616,1.75,1
CITY OF MUNTINLUPA,NA,NATIONAL CAPITAL REGION (NCR),543445,1.68,1
CITY OF PARAÑAQUE,NA,NATIONAL CAPITAL REGION (NCR),689992,1.61,1
PASAY CITY,NA,NATIONAL CAPITAL REGION (NCR),440656,1.15,1
PATEROS,NA,NATIONAL CAPITAL REGION (NCR),65227,0.17,1
TAGUIG CITY,NA,NATIONAL CAPITAL REGION (NCR),886722,3.24,1
BANGUED ,ABRA,Cordillera Administrative Region (CAR),50382,1.38,0
BOLINEY,ABRA,Cordillera Administrative Region (CAR),4551,1.14,0
BUCAY,ABRA,Cordillera Administrative Region (CAR),17953,0.47,0
BUCLOC,ABRA,Cordillera Administrative Region (CAR),2395,0.96,0
DAGUIOMAN,ABRA,Cordillera Administrative Region (CAR),2019,1.64,0
DANGLAS,ABRA,Cordillera Administrative Region (CAR),4074,-1.49,0
DOLORES,ABRA,Cordillera Administrative Region (CAR),11512,0.01,0
LA PAZ,ABRA,Cordillera Administrative Region (CAR),16493,1.03,0
LACUB,ABRA,Cordillera Administrative Region (CAR),3612,1.95,0
LAGANGILANG,ABRA,Cordillera Administrative Region (CAR),14914,0.76,0
LAGAYAN,ABRA,Cordillera Administrative Region (CAR),4488,0.02,0
LANGIDEN,ABRA,Cordillera Administrative Region (CAR),3576,1.21,0
LICUAN-BAAY (LICUAN),ABRA,Cordillera Administrative Region (CAR),4566,-0.63,0
